sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9361519905176734
6.9,3.1,5.1,2.3,virginica,0.9784085549752484
5.1,2.5,3.0,1.1,versicolor,0.9509422620869472
4.4,2.9,,0.2,setosa,0.6212739720955396
5.9,3.0,5.1,1.8,virginica,0.7529903131983523
5.5,3.5,1.3,0.2,setosa,0.9473003403380239
5.6,,3.6,1.3,versicolor,0.9479463741301376
6.5,3.0,5.2,2.0,virginica,0.965011659739858
5.3,3.7,1.5,0.2,setosa,0.9509444695282664
5.1,3.4,1.5,,setosa,0.7618127484366488
6.1,2.8,4.0,1.3,versicolor,0.9751119900370586
5.5,2.4,3.7,1.0,versicolor,0.959128951513135
7.7,3.0,6.1,2.3,virginica,0.9739709209348459
6.9,3.1,4.9,1.5,versicolor,0.6968135387986503
6.0,2.2,5.0,1.5,virginica,0.8283426685331617
